variant,entry_style,cutoff,min_gap,trades,win_rate,expectancy_r,ci_low,ci_high,total_r,net_dollars,max_dd_r,profit_factor
with/limit mid stop=gap_far 2R,mid,10:30,5.0,26,0.615,0.841,0.258,1.422,21.86,7453.0,2.08,3.137
with/limit mid stop=gap_far 2R,mid,12:00,5.0,33,0.576,0.721,0.173,1.188,23.79,8031.5,3.11,2.657
with/limit mid stop=gap_far 2R,mid,10:00,5.0,21,0.571,0.707,0.122,1.29,14.85,6015.5,3.09,2.61
with/limit mid stop=gap_far 2R,mid,11:00,10.0,27,0.556,0.66,0.099,1.222,17.83,6928.5,2.06,2.454
with/limit proximal stop=gap_far 3R,proximal,11:00,5.0,36,0.417,0.659,-0.008,1.328,23.74,5978.0,5.08,2.117
with/limit mid stop=gap_far 2R,mid,11:00,5.0,29,0.552,0.648,0.122,1.173,18.78,6844.5,3.11,2.41
with/limit mid stop=gap_far 2R be@1R,mid,11:00,5.0,29,0.552,0.648,0.122,1.173,18.78,6844.5,3.11,2.41
with/limit mid stop=gap_far 2R,mid,11:00,0.0,29,0.552,0.648,0.122,1.173,18.78,6844.5,3.11,2.41
with/limit mid stop=gap_far 3R,mid,11:00,5.0,29,0.414,0.644,-0.052,1.341,18.67,4474.5,5.1,2.075
with/limit proximal stop=gap_far 2R,proximal,11:00,5.0,36,0.528,0.577,0.075,1.079,20.77,7193.0,3.06,2.206
with/limit mid stop=gap_far 1.5R,mid,11:00,5.0,29,0.621,0.543,0.105,0.98,15.76,6494.5,3.11,2.396
with/limit proximal stop=gap_far 1R,proximal,11:00,5.0,36,0.694,0.384,0.102,0.664,13.81,9598.0,2.06,2.234
with/limit mid stop=gap_far 2R,mid,11:00,20.0,22,0.455,0.36,-0.195,1.043,7.91,3951.0,5.09,1.65
with/limit proximal stop=gap_far 1.5R,proximal,11:00,5.0,36,0.528,0.312,-0.106,0.729,11.22,2513.0,3.06,1.651
with/limit distal stop=pattern 1R,distal,11:00,5.0,26,0.654,0.306,-0.079,0.615,7.96,8563.0,3.01,1.881
with/limit distal stop=pattern 3R,distal,11:00,5.0,26,0.346,0.257,-0.384,0.953,6.69,10313.0,6.42,1.395
with/limit mid stop=gap_far 1R,mid,11:00,5.0,29,0.621,0.233,-0.119,0.583,6.75,3399.5,3.12,1.598
with/limit mid stop=pattern 1R,mid,11:00,5.0,29,0.552,0.104,-0.244,0.45,3.02,549.5,3.02,1.233
with/limit distal stop=pattern 2R,distal,11:00,5.0,26,0.346,-0.001,-0.527,0.535,-0.03,508.0,6.13,0.998
with/limit mid stop=pattern 3R,mid,11:00,5.0,29,0.241,-0.227,-0.719,0.331,-6.58,-10480.5,9.34,0.7
with/limit mid stop=pattern 2R,mid,11:00,5.0,29,0.276,-0.248,-0.676,0.218,-7.19,-12730.5,8.18,0.656
with/stop pattern-break stop=gap_far 1R,mid,11:00,5.0,38,0.368,-0.27,-0.586,0.047,-10.24,-11341.0,12.16,0.577
with/stop pattern-break stop=gap_far 2R,mid,11:00,5.0,38,0.263,-0.329,-0.676,0.07,-12.5,-14646.0,15.46,0.545
fade/stop into-gap stop=gap_far 2R,mid,11:00,5.0,37,0.135,-0.603,-0.928,-0.278,-22.32,-27886.5,22.32,0.309
with/stop pattern-break stop=gap_far 3R,mid,11:00,5.0,38,0.158,-0.604,-0.89,-0.254,-22.93,-31636.0,22.93,0.272
