day,side,entry_type,gap_formed,gap_size,planned_entry,stop,target,risk_pts,filled,entry_time,entry_fill,exit_time,exit_fill,exit_reason,points,r,net_dollars,mfe_r,mae_r,ambiguous
2026-06-29,short,limit,10:00,88.75,29676.0,29721.25,29585.0,45.25,True,10:50,29676.0,10:50,29585.0,target,91.0,2.011,1815.5,0.0,0.0,False
2026-06-30,long,limit,09:55,41.75,30273.0,30251.0,30316.5,22.0,False,,,,,,0.0,0.0,0.0,0.0,0.0,False
2026-07-02,short,limit,10:25,14.0,30101.75,30109.75,30085.75,8.0,False,,,,,,0.0,0.0,0.0,0.0,0.0,False
2026-07-07,short,limit,09:55,18.75,29493.5,29504.0,29473.0,10.5,True,10:00,29493.5,10:00,29504.25,stop,-10.75,-1.024,-219.5,0.0,0.0,True
2026-07-09,long,limit,09:40,30.25,29796.5,29780.5,29829.0,16.0,True,10:10,29796.5,10:10,29829.0,target,32.5,2.031,645.5,0.0,0.0,False
2026-07-10,long,limit,09:50,39.0,29894.0,29873.5,29935.0,20.5,True,10:15,29894.0,10:15,29935.0,target,41.0,2.0,815.5,0.0,0.0,False
2026-07-13,short,limit,09:40,8.5,29627.5,29632.75,29617.0,5.25,True,09:55,29627.5,09:55,29633.0,stop,-5.5,-1.048,-114.5,0.0,0.0,True
2026-07-14,short,limit,10:05,34.25,29721.5,29739.5,29685.0,18.0,True,10:25,29721.5,10:25,29685.0,target,36.5,2.028,725.5,0.0,0.0,False
2026-07-15,short,limit,09:40,28.0,29898.5,29913.5,29868.5,15.0,False,,,,,,0.0,0.0,0.0,0.0,0.0,False
2026-07-16,short,limit,09:45,35.75,29360.5,29379.5,29323.0,19.0,True,09:55,29360.5,09:55,29323.0,target,37.5,1.974,745.5,0.0,0.0,False
2026-07-17,short,limit,09:40,27.75,28526.0,28540.75,28496.0,14.75,True,09:50,28526.0,09:50,28541.0,stop,-15.0,-1.017,-304.5,0.0,0.0,True
2026-07-20,short,limit,09:55,49.0,29091.25,29116.75,29040.25,25.5,False,,,,,,0.0,0.0,0.0,0.0,0.0,False
2026-07-21,long,limit,10:30,29.0,29187.5,29172.0,29218.5,15.5,True,10:35,29187.5,10:35,29218.5,target,31.0,2.0,615.5,0.0,0.0,False
2026-07-22,long,limit,09:55,11.0,29223.75,29217.25,29236.75,6.5,True,10:05,29223.75,10:05,29236.75,target,13.0,2.0,255.5,0.0,0.0,False
2026-07-23,long,limit,09:40,32.5,28780.75,28763.5,28815.25,17.25,True,09:45,28780.75,09:45,28763.25,stop,-17.5,-1.014,-354.5,0.0,0.0,True
2026-07-24,short,limit,09:55,76.5,28406.75,28446.0,28328.25,39.25,True,10:05,28406.75,10:15,28328.25,target,78.5,2.0,1565.5,2.75,0.75,False
2026-07-27,short,limit,09:45,36.75,28507.5,28526.75,28468.5,19.25,False,,,,,,0.0,0.0,0.0,0.0,0.0,False
2026-07-28,short,limit,09:40,29.75,27856.5,27872.25,27824.5,15.75,True,10:50,27856.5,10:50,27872.5,stop,-16.0,-1.016,-324.5,0.0,0.0,False
