day,side,entry_type,gap_formed,gap_size,planned_entry,stop,target,risk_pts,filled,entry_time,entry_fill,exit_time,exit_fill,exit_reason,points,r,net_dollars,mfe_r,mae_r,ambiguous
2026-06-30,long,limit,09:30,1.25,30032.5,30005.25,30130.75,27.25,False,,,,,,0.0,0.0,0.0,0.0,0.0,False
2026-07-08,long,limit,09:35,24.5,29242.25,29165.0,29558.75,77.25,True,10:15,29242.25,10:50,29164.75,stop,-77.5,-1.003,-1554.5,1.69,1.18,False
2026-07-10,long,limit,09:20,5.5,29816.0,29790.5,29963.5,25.5,True,09:30,29816.0,09:50,29963.5,target,147.5,5.784,2945.5,5.98,0.71,False
2026-07-16,long,limit,09:05,9.5,29416.0,29382.25,29763.25,33.75,True,09:35,29416.0,09:35,29382.0,stop,-34.0,-1.007,-684.5,0.0,0.0,False
2026-07-22,long,limit,09:10,1.75,29049.5,29016.5,29337.0,33.0,False,,,,,,0.0,0.0,0.0,0.0,0.0,False
2026-07-24,short,limit,08:45,5.75,28638.5,28665.5,28482.0,27.0,False,,,,,,0.0,0.0,0.0,0.0,0.0,False
2026-07-31,long,limit,08:55,2.5,28462.0,28444.5,28572.0,17.5,True,09:40,28462.0,09:40,28444.25,stop,-17.75,-1.014,-359.5,0.0,0.0,True
2026-08-03,long,limit,10:00,9.0,28530.0,28442.25,28698.25,87.75,True,10:05,28530.0,10:35,28698.25,target,168.25,1.917,3360.5,2.31,0.0,False
2026-08-06,long,limit,10:55,14.25,29592.5,29585.75,29621.0,6.75,True,11:15,29592.5,11:15,29585.5,stop,-7.0,-1.037,-144.5,0.0,0.0,True
2026-08-11,short,limit,09:35,73.0,29779.5,29852.25,29666.0,72.75,True,10:05,29779.5,11:40,29666.0,target,113.5,1.56,2265.5,1.59,0.35,False
2026-08-14,short,limit,09:15,4.75,30262.5,30280.75,30124.25,18.25,True,09:30,30262.5,10:55,30124.25,target,138.25,7.575,2760.5,7.64,0.99,False
2026-08-17,long,limit,10:30,1.0,30185.5,30173.75,30247.25,11.75,False,,,,,,0.0,0.0,0.0,0.0,0.0,False
2026-08-19,long,limit,10:30,11.5,29462.5,29432.5,29609.5,30.0,False,,,,,,0.0,0.0,0.0,0.0,0.0,False
2026-08-21,short,limit,09:20,14.25,29460.0,29490.0,29289.75,30.0,True,11:40,29460.0,15:55,29395.5,time,64.5,2.15,1285.5,3.54,0.96,False
2026-08-25,short,limit,10:05,9.5,29284.5,29346.5,29017.0,62.0,True,11:30,29284.5,15:55,29270.5,time,14.0,0.226,275.5,1.33,0.28,False
2026-08-26,long,limit,09:30,9.5,29169.5,29132.25,29275.25,37.25,True,10:25,29169.5,11:05,29275.25,target,105.75,2.839,2110.5,3.05,0.0,False
2026-08-28,short,limit,09:25,3.75,29649.0,29663.75,29594.25,14.75,True,09:35,29649.0,09:35,29594.25,target,54.75,3.712,1090.5,0.0,0.0,False
2026-09-04,short,limit,08:50,6.75,29551.5,29588.0,29495.0,36.5,True,09:00,29551.5,09:25,29588.25,stop,-36.75,-1.007,-739.5,0.65,1.08,False
