day,side,entry_type,gap_formed,gap_size,planned_entry,stop,target,risk_pts,filled,entry_time,entry_fill,exit_time,exit_fill,exit_reason,points,r,net_dollars,mfe_r,mae_r,ambiguous
2026-06-29,short,limit,,0.0,29759.75,29777.0,29725.25,17.25,True,11:25,29759.75,11:25,29725.25,target,34.5,2.0,685.5,0.0,0.0,False
2026-07-13,long,limit,,0.0,29542.75,29487.5,29653.25,55.25,False,,,,,,0.0,0.0,0.0,0.0,0.0,False
2026-07-16,long,limit,,0.0,29361.0,29314.25,29454.5,46.75,True,11:10,29361.0,11:35,29454.5,target,93.5,2.0,1865.5,2.29,0.52,False
2026-07-17,long,limit,,0.0,28550.0,28485.25,28679.5,64.75,False,,,,,,0.0,0.0,0.0,0.0,0.0,False
2026-07-23,long,limit,,0.0,28697.0,28656.0,28779.0,41.0,True,09:55,28697.0,09:55,28779.0,target,82.0,2.0,1635.5,0.0,0.0,False
2026-08-10,long,limit,,0.0,29771.75,29753.5,29808.25,18.25,True,11:00,29771.75,11:00,29808.25,target,36.5,2.0,725.5,0.0,0.0,False
2026-08-11,long,limit,,0.0,29666.0,29656.0,29686.0,10.0,True,11:40,29666.0,11:40,29686.0,target,20.0,2.0,395.5,0.0,0.0,False
2026-08-19,long,limit,,0.0,29430.5,29394.0,29503.5,36.5,False,,,,,,0.0,0.0,0.0,0.0,0.0,False
2026-08-21,long,limit,,0.0,29274.25,29257.0,29308.75,17.25,False,,,,,,0.0,0.0,0.0,0.0,0.0,False
2026-08-26,short,limit,,0.0,29309.75,29333.5,29262.25,23.75,False,,,,,,0.0,0.0,0.0,0.0,0.0,False
2026-08-28,long,limit,,0.0,29578.25,29561.75,29611.25,16.5,True,10:05,29578.25,10:05,29561.5,stop,-16.75,-1.015,-339.5,0.0,0.0,True
2026-09-02,short,limit,,0.0,29170.0,29203.5,29103.0,33.5,True,11:15,29170.0,11:25,29203.75,stop,-33.75,-1.007,-679.5,0.08,1.15,False
